createdAt,side,liquidity,type,market,price,size,fee
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7145","11749","3.18997"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7145","27849","7.561281"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7145","2200","0.597322"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7146","21676","5.886074"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7146","41701","11.323823"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7146","15000","4.07322"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7146","2418","0.656603"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7146","13924","3.781034"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7146","1538","0.41764"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7146","6990","1.89812"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7146","2200","0.597405"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7147","2200","0.597489"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7147","139","0.03775"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7147","279","0.075772"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7148","1390","0.377557"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7148","2796","0.75946"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7149","9962","2.706296"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7149","4676","1.270291"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.715","21676","5.889369"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.715","9560","2.597452"
"2023-07-28T15:38:39.266Z","SELL","TAKER","MARKET","MATIC-USD","0.7151","77","0.020923"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.776","27.6","0.25985"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.775","114.3","1.076077"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.775","65","0.611942"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.774","122","1.148522"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.774","202.3","1.904476"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.772","100","0.941336"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.771","72.1","0.678675"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.771","40","0.376519"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.771","403.2","3.795313"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.771","564.9","5.317392"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.77","60","0.564756"
"2023-07-28T12:57:17.991Z","BUY","TAKER","MARKET","SOL-USD","24.77","228.6","2.15172"
